,CountryCode,CountryName,Year
0,USA,USA,1960
1,AUT,Austria,1964
2,FRA,France,1968
3,JPN,Japan,1972
4,AUT,Austria,1976
5,USA,USA,1980
6,SRB,Yugoslavia,1984
7,CAN,Canada,1988
8,FRA,France,1992
9,NOR,Norway,1994
10,JPN,Japan,1998
11,USA,USA,2002
12,ITA,Italy,2006
13,CAN,Canada,2010
14,RUS,Russia,2014
15,KOR,South Korea,2018
16,CHN,China,2022
